Processes	 Steps		 Error			 Time
64		 2		 0.40297986606396252	 0.0025479793548583984
64		 4		 0.21897966746476261	 0.00056219100952148438
64		 8		 0.11429479693195033	 0.00049591064453125
64		 16		 0.058399633250339367	 0.00061202049255371094
64		 32		 0.029518814978706231	 0.00050592422485351562
64		 64		 0.014839863800788056	 0.00076699256896972656
64		 128		 0.0074401318182744092	 0.0004119873046875
64		 256		 0.0037251264541935392	 0.0014059543609619141
64		 512		 0.0018638296735331572	 0.00058794021606445312
64		 1024		 0.00093223161148170419	 0.00055003166198730469
64		 2048		 0.00046619501976596922	 0.00046086311340332031
64		 4096		 0.00023311731592956519	 0.00043082237243652344
64		 8192		 0.00011656360979461766	 0.00043892860412597656
64		 16384		 5.8283042895457271e-05	 0.0010228157043457031
64		 32768		 2.9141830955037307e-05	 0.00049591064453125
64		 65536		 1.4570992858509157e-05	 0.00089001655578613281
64		 131072		 7.2855157751128274e-06	 0.00077605247497558594
64		 262144		 3.6427627243540428e-06	 0.0014259815216064453
64		 524288		 1.8213825763169211e-06	 0.0014071464538574219
64		 1048576	 9.1069159591228299e-07	 0.0025050640106201172
64		 2097152	 4.5534587345130717e-07	 0.0043098926544189453
64		 4194304	 2.276729600403371e-07	 0.010687828063964844
64		 8388608	 1.1383649622942471e-07	 0.021184921264648438
64		 16777216	 5.6918323831922635e-08	 0.027954816818237305
64		 33554432	 2.8459742562603196e-08	 0.056464910507202148
