Processes	 Steps		 Error			 Time
2		 2		 0.40297986606396252	 2.8133392333984375e-05
2		 4		 0.21897966746476261	 9.5367431640625e-07
2		 8		 0.11429479693194988	 1.1920928955078125e-06
2		 16		 0.058399633250339367	 9.5367431640625e-07
2		 32		 0.029518814978706231	 9.5367431640625e-07
2		 64		 0.0148398638007885	 9.5367431640625e-07
2		 128		 0.0074401318182744092	 1.9073486328125e-06
2		 256		 0.0037251264541944273	 1.0013580322265625e-05
2		 512		 0.0018638296735327131	 5.0067901611328125e-06
2		 1024		 0.0009322316114812601	 3.0994415283203125e-06
2		 2048		 0.0004661950197628606	 5.9604644775390625e-06
2		 4096		 0.00023311731592423612	 1.1920928955078125e-05
2		 8192		 0.00011656360978840041	 2.288818359375e-05
2		 16384		 5.82830428901282e-05	 4.5061111450195312e-05
2		 32768		 2.9141830946155522e-05	 8.8930130004882812e-05
2		 65536		 1.4570992839413321e-05	 0.00017809867858886719
2		 131072		 7.285515744470672e-06	 0.00035405158996582031
2		 262144		 3.6427626772805866e-06	 0.00070810317993164062
2		 524288		 1.8213825092594504e-06	 0.0017530918121337891
2		 1048576	 9.1069151864076048e-07	 0.0028789043426513672
2		 2097152	 4.5534580106476596e-07	 0.0060269832611083984
2		 4194304	 2.2767292051639743e-07	 0.011689186096191406
2		 8388608	 1.1383671827402964e-07	 0.02351689338684082
2		 16777216	 5.6920630431278596e-08	 0.046693086624145508
2		 33554432	 2.8478611469040516e-08	 0.092643022537231445
