Processes	 Steps		 Error			 Time
16		 2		 0.40297986606396252	 0.0003070831298828125
16		 4		 0.21897966746476261	 0.00012493133544921875
16		 8		 0.11429479693195033	 0.00012493133544921875
16		 16		 0.058399633250339367	 0.00011396408081054688
16		 32		 0.029518814978706231	 0.00011181831359863281
16		 64		 0.014839863800788056	 8.9883804321289062e-05
16		 128		 0.0074401318182744092	 9.9897384643554688e-05
16		 256		 0.0037251264541935392	 0.00024104118347167969
16		 512		 0.0018638296735327131	 0.00014185905456542969
16		 1024		 0.0009322316114812601	 8.392333984375e-05
16		 2048		 0.00046619501976596922	 8.296966552734375e-05
16		 4096		 0.00023311731592956519	 8.7022781372070312e-05
16		 8192		 0.00011656360979594993	 9.7036361694335938e-05
16		 16384		 5.8283042898121806e-05	 0.00012612342834472656
16		 32768		 2.9141830958145931e-05	 0.00016689300537109375
16		 65536		 1.4570992856732801e-05	 0.00035190582275390625
16		 131072		 7.2855157706719353e-06	 0.00045514106750488281
16		 262144		 3.6427627208013291e-06	 0.00087499618530273438
16		 524288		 1.8213825736523859e-06	 0.0015680789947509766
16		 1048576	 9.1069159502410457e-07	 0.0032720565795898438
16		 2097152	 4.5534587744811006e-07	 0.0060942173004150391
16		 4194304	 2.2767296803394288e-07	 0.01218104362487793
16		 8388608	 1.1383652998020466e-07	 0.024033069610595703
16		 16777216	 5.6918561863739114e-08	 0.048293113708496094
16		 33554432	 2.8461600631857209e-08	 0.055369853973388672
