Processes	 Steps		 Error			 Time
32		 2		 0.40297986606396252	 0.0018758773803710938
32		 4		 0.21897966746476261	 0.0018949508666992188
32		 8		 0.11429479693195033	 0.00024199485778808594
32		 16		 0.058399633250339367	 0.00014805793762207031
32		 32		 0.029518814978706231	 0.00013494491577148438
32		 64		 0.014839863800788056	 0.00014495849609375
32		 128		 0.007440131818273521	 0.00013113021850585938
32		 256		 0.0037251264541935392	 0.00029492378234863281
32		 512		 0.0018638296735331572	 0.00017499923706054688
32		 1024		 0.0009322316114812601	 0.00010609626770019531
32		 2048		 0.00046619501976596922	 0.00011801719665527344
32		 4096		 0.00023311731592956519	 0.00011301040649414062
32		 8192		 0.00011656360979461766	 0.0001430511474609375
32		 16384		 5.8283042896345449e-05	 0.00029706954956054688
32		 32768		 2.9141830956369574e-05	 0.00016617774963378906
32		 65536		 1.4570992858065068e-05	 0.00033402442932128906
32		 131072		 7.285515774224649e-06	 0.00035309791564941406
32		 262144		 3.6427627230217752e-06	 0.00052809715270996094
32		 524288		 1.8213825749846535e-06	 0.0011081695556640625
32		 1048576	 9.1069158925094484e-07	 0.0018410682678222656
32		 2097152	 4.5534587211903954e-07	 0.00347900390625
32		 4194304	 2.2767296092851552e-07	 0.0072968006134033203
32		 8388608	 1.1383650599938733e-07	 0.013598918914794922
32		 16777216	 5.6918401103445149e-08	 0.027158975601196289
32		 33554432	 2.8460358958426468e-08	 0.052457809448242188
