Processes	 Steps		 Error			 Time
4		 2		 0.40297986606396252	 7.5101852416992188e-05
4		 4		 0.21897966746476261	 3.0994415283203125e-06
4		 8		 0.11429479693195033	 4.0531158447265625e-06
4		 16		 0.058399633250339367	 2.1457672119140625e-06
4		 32		 0.029518814978706231	 1.9073486328125e-06
4		 64		 0.014839863800788056	 2.1457672119140625e-06
4		 128		 0.0074401318182744092	 1.9073486328125e-06
4		 256		 0.0037251264541944273	 2.2172927856445312e-05
4		 512		 0.0018638296735336013	 5.9604644775390625e-06
4		 1024		 0.00093223161148170419	 3.0994415283203125e-06
4		 2048		 0.00046619501976508104	 4.0531158447265625e-06
4		 4096		 0.00023311731592778884	 8.106231689453125e-06
4		 8192		 0.00011656360979417357	 1.3113021850585938e-05
4		 16384		 5.8283042896789539e-05	 2.384185791015625e-05
4		 32768		 2.9141830948820058e-05	 4.7922134399414062e-05
4		 65536		 1.4570992846518749e-05	 0.0001049041748046875
4		 131072		 7.2855157582374375e-06	 0.00019097328186035156
4		 262144		 3.6427626923796197e-06	 0.00037407875061035156
4		 524288		 1.8213825376811599e-06	 0.00083804130554199219
4		 1048576	 9.1069155638834332e-07	 0.0015151500701904297
4		 2097152	 4.5534583703599196e-07	 0.0030350685119628906
4		 4194304	 2.2767293650360898e-07	 0.0059781074523925781
4		 8388608	 1.1383660236674586e-07	 0.012489080429077148
4		 16777216	 5.6919458035764592e-08	 0.02412104606628418
4		 33554432	 2.8469046675638765e-08	 0.048322916030883789
